Date,Text,Sentiment,PriceChange
2023-01-01,"Great news about the company's expansion plan!",Positive,0.02
2023-01-02,"Earnings report disappoints investors.",Negative,-0.01
2023-01-03,"Market shows resilience amid global economic challenges.",Positive,0.005
2023-01-04,"Rumors of a potential merger boost stock prices.",Positive,0.015
2023-01-05,"Analysts predict a downturn in the technology sector.",Negative,-0.02
2023-01-06,"New product launch receives mixed reviews from users.",Neutral,0.0
2023-01-07,"Government announces new regulations affecting the industry.",Negative,-0.015
2023-01-08,"Social media buzz boosts investor confidence.",Positive,0.03
2023-01-09,"CEO resigns, causing uncertainty among stakeholders.",Negative,-0.03
2023-01-10,"Company secures major contract, shares soar.",Positive,0.04
2023-01-11,"Market reacts positively to favorable economic indicators.",Positive,0.02
2023-01-12,"Trade tensions contribute to a decline in stock prices.",Negative,-0.015
2023-01-13,"Investors cautious ahead of upcoming earnings season.",Neutral,0.0
2023-01-14,"Technology sector sees a surge in innovation and investment.",Positive,0.025
2023-01-15,"Global economic uncertainty leads to a sell-off in equities.",Negative,-0.02
2023-01-16,"Company announces dividend increase, pleasing shareholders.",Positive,0.015
2023-01-17,"Social media chatter suggests upcoming product launch.",Positive,0.01
2023-01-18,"Analysts downgrade stock amid concerns of overvaluation.",Negative,-0.02
2023-01-19,"Government stimulus boosts market confidence.",Positive,0.03
2023-01-20,"Rising inflation fears lead to a dip in consumer sentiment.",Negative,-0.02
2023-01-21,"Company surpasses revenue expectations, stock soars.",Positive,0.03
2023-01-22,"Market experiences volatility following geopolitical events.",Negative,-0.015
2023-01-23,"New regulatory framework supports sustainable investments.",Positive,0.02
2023-01-24,"Investors remain cautious ahead of interest rate decision.",Neutral,0.0
2023-01-25,"Rumors of a major acquisition drive up stock prices.",Positive,0.03
2023-01-26,"Tech stocks rally as industry leaders report strong earnings.",Positive,0.02
2023-01-27,"Economic data signals potential slowdown, impacting markets.",Negative,-0.02
2023-01-28,"Company faces legal challenges, stock plummets.",Negative,-0.03
